epoch,phase,loss,accuracy,f1,recall,precision
1,train,0.5933031282205691,0.704741358757019,0.756083071231842,0.8187660574913025,0.7023153305053711
1,val,0.5280378549948506,0.7456896305084229,0.777917206287384,0.7969151735305786,0.7598039507865906
2,train,0.43712066918954084,0.8099856376647949,0.831367552280426,0.8380462527275085,0.8247944116592407
2,val,0.4685253641386142,0.7643678188323975,0.774104654788971,0.7223650217056274,0.8338279128074646
3,train,0.3524841595997756,0.8591954112052917,0.8729747533798218,0.8656812310218811,0.8803921341896057
3,val,0.4292967405127383,0.8074712753295898,0.8277634978294373,0.8277634978294373,0.8277634978294373
4,train,0.28656843201867466,0.8976293206214905,0.9071359038352966,0.8946015238761902,0.920026421546936
4,val,0.40550980040396767,0.8045976758003235,0.8181818127632141,0.7866324186325073,0.8523676991462708
5,train,0.22769876012856932,0.9220545887947083,0.9300676584243774,0.9273778796195984,0.9327731132507324
5,val,0.3987253013698534,0.8089080452919006,0.8233731985092163,0.7969151735305786,0.8516483306884766
6,train,0.18374160052030936,0.9475574493408203,0.9525973796844482,0.9428020715713501,0.962598443031311
6,val,0.4025249443520075,0.806034505367279,0.8163265585899353,0.7712082266807556,0.8670520186424255
7,train,0.1433276273738379,0.9647988677024841,0.9683666825294495,0.9640102982521057,0.9727626442909241
7,val,0.397919652105748,0.8232758641242981,0.8353413939476013,0.8020565509796143,0.8715083599090576
8,train,0.1163566621641318,0.975215494632721,0.9778063893318176,0.9768637418746948,0.9787508249282837
8,val,0.3995237559422679,0.8204023241996765,0.8331108093261719,0.8020565509796143,0.8666666746139526
9,train,0.09218318053874476,0.9849137663841248,0.9864253401756287,0.980719804763794,0.9921976327896118
9,val,0.40110193826686374,0.8318965435028076,0.8478543758392334,0.8380462527275085,0.8578947186470032
10,train,0.0709655452091461,0.9888649582862854,0.9900225400924683,0.9884318709373474,0.9916183352470398
10,val,0.40493971177901344,0.8261494040489197,0.8380187153816223,0.8046272397041321,0.8743016719818115
