epoch,phase,loss,accuracy,f1,recall,precision
1,train,0.5911381001445069,0.6989942789077759,0.7504466772079468,0.8097686171531677,0.6992231011390686
1,val,0.5193520962506876,0.7571839094161987,0.7841634750366211,0.7892031073570251,0.779187798500061
2,train,0.43921072729702654,0.803520143032074,0.8242852687835693,0.8245501518249512,0.8240205645561218
2,val,0.46659476798156213,0.772988498210907,0.7859078645706177,0.7455012798309326,0.8309455513954163
3,train,0.35748205976239567,0.8559626340866089,0.8704361915588379,0.8656812310218811,0.8752436637878418
3,val,0.43192629773041297,0.7988505959510803,0.8177083134651184,0.8071979284286499,0.8284960389137268
4,train,0.2918348391165679,0.8893678188323975,0.8990163803100586,0.8811054229736328,0.9176706671714783
4,val,0.41135432185797854,0.7945402264595032,0.8110964298248291,0.7892031073570251,0.83423912525177
5,train,0.23407467617385688,0.9195402264595032,0.9276486039161682,0.922879159450531,0.932467520236969
5,val,0.40419971977157154,0.8045976758003235,0.821052610874176,0.8020565509796143,0.8409703373908997
6,train,0.19215727888647166,0.9443247318267822,0.949821949005127,0.9428020715713501,0.9569471478462219
6,val,0.40546763559867594,0.8031609058380127,0.8146143555641174,0.7737789154052734,0.8600000143051147
7,train,0.14690624545702988,0.9669540524482727,0.9701492786407471,0.9607968926429749,0.9796854257583618
7,val,0.40569443949337664,0.8103448152542114,0.8258575201034546,0.8046272397041321,0.848238468170166
8,train,0.11833464174435057,0.9759339094161987,0.9783661365509033,0.9736503958702087,0.9831278324127197
8,val,0.4048232980843248,0.818965494632721,0.832446813583374,0.8046272397041321,0.8622589707374573
9,train,0.09276843820323889,0.9845545887947083,0.9861066341400146,0.980719804763794,0.9915529489517212
9,val,0.4035945973177066,0.8333333134651184,0.8497409224510193,0.843187689781189,0.8563968539237976
10,train,0.07151132113375198,0.9899425506591797,0.9910025596618652,0.9910025596618652,0.9910025596618652
10,val,0.4180187391138625,0.8261494040489197,0.8397350907325745,0.8149100542068481,0.8661202192306519
