epoch,phase,loss,accuracy,f1,recall,precision
1,train,0.6531768927628967,0.6257184147834778,0.6366806030273438,0.586760938167572,0.6958841681480408
1,val,0.6085019186995495,0.7399425506591797,0.7602648735046387,0.7377892136573792,0.7841529846191406
2,train,0.5238197509242201,0.78125,0.8037382960319519,0.801413893699646,0.8060762882232666
2,val,0.44956858096451596,0.8132184147834778,0.8298429250717163,0.8149100542068481,0.8453333377838135
3,train,0.3748468413263902,0.8430315852165222,0.8621885776519775,0.8785346746444702,0.8464395999908447
3,val,0.33294333089357137,0.8591954112052917,0.8679245114326477,0.8277634978294373,0.9121813178062439
4,train,0.297972759981265,0.8800287246704102,0.8926045298576355,0.8920308351516724,0.8931788802146912
4,val,0.2976103873773553,0.8620689511299133,0.871999979019165,0.8406169414520264,0.9058171510696411
5,train,0.238802847805722,0.9019396305084229,0.9125840663909912,0.9158097505569458,0.9093809723854065
5,val,0.29157816027772837,0.852011501789093,0.8579310178756714,0.7994858622550964,0.925595223903656
6,train,0.21552791268746743,0.9148706793785095,0.9238187074661255,0.923521876335144,0.924115777015686
6,val,0.2891690753314687,0.8635057210922241,0.8678720593452454,0.8020565509796143,0.9454545378684998
7,train,0.1657916731896928,0.9328304529190063,0.94000643491745,0.9415166974067688,0.9385009407997131
7,val,0.2712456039313612,0.8735632300376892,0.8814015984535217,0.8406169414520264,0.9263455867767334
8,train,0.14033176403107314,0.9504310488700867,0.955569863319397,0.9537274837493896,0.9574193358421326
8,val,0.2702602594234477,0.8807471394538879,0.8888888955116272,0.8534704446792603,0.9273743033409119
9,train,0.1251162641210717,0.9576149582862854,0.9619109034538269,0.9575835466384888,0.966277539730072
9,val,0.292717855637786,0.8793103694915771,0.8870967626571655,0.8483290672302246,0.9295774698257446
10,train,0.09678889776515806,0.9658764600753784,0.9695414900779724,0.9717223644256592,0.9673704504966736
10,val,0.3246678119932098,0.875,0.8803301453590393,0.8226221203804016,0.9467455744743347
