epoch,phase,loss,accuracy,f1,recall,precision
1,train,0.6462541191742338,0.6584051847457886,0.6669001579284668,0.611825168132782,0.732871413230896
1,val,0.5912142731677527,0.7772988677024841,0.7838214635848999,0.7223650217056274,0.8567073345184326
2,train,0.4953284843814099,0.7941810488700867,0.8125613331794739,0.7982004880905151,0.8274483680725098
2,val,0.41158571548160466,0.8333333134651184,0.8356940746307373,0.7583547830581665,0.9305993914604187
3,train,0.397542387589641,0.8229166865348816,0.8402979969978333,0.8335475325584412,0.8471587300300598
3,val,0.3452934557679056,0.857758641242981,0.8626906871795654,0.7994858622550964,0.9367470145225525
4,train,0.3442275546405507,0.8581178188323975,0.8722096681594849,0.8663238883018494,0.8781759142875671
4,val,0.34662560364980805,0.8275862336158752,0.8230088353157043,0.7172236442565918,0.9653978943824768
5,train,0.28311494406012966,0.8789511322975159,0.8909032344818115,0.8843187689781189,0.8975864052772522
5,val,0.2868635321742502,0.8706896305084229,0.8767123222351074,0.8226221203804016,0.9384164214134216
6,train,0.2633129836263499,0.889008641242981,0.9005471467971802,0.8991002440452576,0.9019986987113953
6,val,0.2787769587988826,0.8692528605461121,0.875852644443512,0.8251928091049194,0.9331395626068115
7,train,0.22210697195460571,0.915229856967926,0.9238218069076538,0.9196658134460449,0.9280155897140503
7,val,0.2828923100284461,0.8591954112052917,0.8653846383094788,0.8097686171531677,0.9292035102844238
8,train,0.19773343969778767,0.9238505959510803,0.9310793280601501,0.9203084707260132,0.942105233669281
8,val,0.3281267010874447,0.8563218116760254,0.8579545617103577,0.7763496041297913,0.958730161190033
9,train,0.16937001182526434,0.9371408224105835,0.9434206485748291,0.9376606941223145,0.9492517709732056
9,val,0.28380599729288586,0.8764367699623108,0.8825136423110962,0.8303341865539551,0.941690981388092
10,train,0.15870911766368168,0.9450430870056152,0.9510086178779602,0.9543702006340027,0.9476706981658936
10,val,0.3251792146642318,0.8620689511299133,0.8644067645072937,0.7866324186325073,0.9592476487159729
