epoch,phase,loss,accuracy,f1,recall,precision
1,train,0.6453564176636357,0.6653226017951965,0.5891088843345642,0.6296296119689941,0.5534883737564087
1,val,0.5851856104789241,0.7943548560142517,0.75,0.8095238208770752,0.698630154132843
2,train,0.5113508588364047,0.8326612710952759,0.7932752370834351,0.8425925970077515,0.7494117617607117
2,val,0.4306973430418199,0.899193525314331,0.8648648858070374,0.8465608358383179,0.8839778900146484
3,train,0.3473828483012415,0.8865927457809448,0.8543689250946045,0.8730158805847168,0.8365018963813782
3,val,0.2776204972497879,0.9173387289047241,0.8845070600509644,0.8306878209114075,0.9457831382751465
4,train,0.24116715963088697,0.9112903475761414,0.8849673271179199,0.8955026268959045,0.8746770024299622
4,val,0.22134032629189954,0.9294354915618896,0.902506947517395,0.8571428656578064,0.9529411792755127
5,train,0.17065818193218402,0.9415322542190552,0.9242819547653198,0.9365079402923584,0.9123711585998535
5,val,0.18093668104660127,0.9435483813285828,0.9234972596168518,0.8941798806190491,0.9548022747039795
6,train,0.12931570234978873,0.9627016186714172,0.9516339898109436,0.9629629850387573,0.9405684471130371
6,val,0.1798686101551979,0.9435483813285828,0.9226519465446472,0.8835979104042053,0.9653179049491882
7,train,0.11386749007919382,0.9657257795333862,0.9555555582046509,0.9669312238693237,0.9444444179534912
7,val,0.18555314538459625,0.9455645084381104,0.9252077341079712,0.8835979104042053,0.9709302186965942
8,train,0.09360495507116279,0.9722782373428345,0.9637442231178284,0.9669312238693237,0.960578203201294
8,val,0.19910427399220004,0.9435483813285828,0.9230769276618958,0.8888888955116272,0.9599999785423279
9,train,0.07895034938419779,0.9753023982048035,0.9677843451499939,0.9735449552536011,0.9620915055274963
9,val,0.18274817687849845,0.9495967626571655,0.9322493076324463,0.9100528955459595,0.9555555582046509
10,train,0.06169977154762995,0.9808467626571655,0.9752281904220581,0.9894179701805115,0.9614396095275879
10,val,0.19058565933617852,0.9475806355476379,0.9289617538452148,0.8994709253311157,0.9604519605636597
