epoch,phase,loss,accuracy,f1,recall,precision
1,train,0.5708931670791801,0.7162356376647949,0.7589994072914124,0.8405405282974243,0.6918798685073853
1,val,0.43409517373161755,0.818965494632721,0.8363636136054993,0.8702702522277832,0.8050000071525574
2,train,0.38417093712708045,0.8498563170433044,0.8602006435394287,0.8689188957214355,0.8516556024551392
2,val,0.3484580855945061,0.8606321811676025,0.8665749430656433,0.8513513803482056,0.8823529481887817
3,train,0.2853722675093289,0.9015804529190063,0.9069293737411499,0.9020270109176636,0.9118852615356445
3,val,0.30331342830055064,0.8764367699623108,0.8859416246414185,0.9027026891708374,0.8697916865348816
4,train,0.21447586722072515,0.9267241358757019,0.9307535886764526,0.9263513684272766,0.9351978302001953
4,val,0.2858065592831579,0.8879310488700867,0.8907563090324402,0.8594594597816467,0.9244186282157898
5,train,0.16709386454573993,0.9482758641242981,0.9510536789894104,0.945270299911499,0.9569083452224731
5,val,0.26525751407119047,0.892241358757019,0.898785412311554,0.8999999761581421,0.8975741267204285
6,train,0.13412721656348514,0.962284505367279,0.9644429683685303,0.9621621370315552,0.9667345285415649
6,val,0.26067581567271003,0.9022988677024841,0.906593382358551,0.8918918967247009,0.9217877388000488
7,train,0.09946909375574398,0.9780890941619873,0.9792446494102478,0.9722973108291626,0.9862920045852661
7,val,0.2635251804329883,0.897988498210907,0.9006993174552917,0.8702702522277832,0.9333333373069763
8,train,0.07703536714630566,0.9881465435028076,0.9888324737548828,0.987162172794342,0.990508496761322
8,val,0.26524200144855453,0.8936781883239746,0.8966480493545532,0.8675675392150879,0.9277456402778625
9,train,0.060552693496661626,0.9903017282485962,0.9908381700515747,0.9864864945411682,0.9952283501625061
9,val,0.259959922782306,0.9008620977401733,0.9056087732315063,0.8945946097373962,0.9168975353240967
10,train,0.04287863899578993,0.9960488677024841,0.9962900280952454,0.9979729652404785,0.9946128129959106
10,val,0.2684998556800272,0.897988498210907,0.9012517333030701,0.8756756782531738,0.9283667802810669
11,train,0.042543928138911724,0.9924569129943848,0.9928885698318481,0.9905405640602112,0.9952477812767029
11,val,0.28934992284610356,0.8951149582862854,0.8958630561828613,0.8486486673355103,0.9486404657363892
12,train,0.02887393497786988,0.9974856376647949,0.9976327419281006,0.9966216087341309,0.9986459016799927
12,val,0.2825656937456679,0.8994252681732178,0.9019607901573181,0.8702702522277832,0.9360465407371521
13,train,0.026883043643172788,0.9946120977401733,0.9949307441711426,0.9945945739746094,0.9952670931816101
13,val,0.2830452487386506,0.8951149582862854,0.8979020714759827,0.8675675392150879,0.9304347634315491
14,train,0.02644503428654253,0.9949712753295898,0.9952734708786011,0.995945930480957,0.9946019053459167
14,val,0.2884388617400465,0.8994252681732178,0.9027777910232544,0.8783783912658691,0.9285714030265808
15,train,0.019977264989424367,0.9967672228813171,0.9969563484191895,0.995945930480957,0.997968852519989
15,val,0.2936616300166338,0.892241358757019,0.8951048851013184,0.8648648858070374,0.9275362491607666
16,train,0.020042988444924695,0.9971264600753784,0.9972972869873047,0.9972972869873047,0.9972972869873047
16,val,0.2891851483747877,0.9008620977401733,0.9048275947570801,0.8864864706993103,0.9239436388015747
17,train,0.014614610879243106,0.9964080452919006,0.9966238737106323,0.9972972869873047,0.9959514141082764
17,val,0.3016642835633508,0.8965517282485962,0.8991596698760986,0.8675675392150879,0.9331395626068115
18,train,0.015683679250015438,0.9974856376647949,0.9976359605789185,0.9979729652404785,0.9972991347312927
18,val,0.2889572407664924,0.9008620977401733,0.9056087732315063,0.8945946097373962,0.9168975353240967
19,train,0.01629109891003062,0.9960488677024841,0.9962800145149231,0.9952702522277832,0.9972918033599854
19,val,0.30616500494123877,0.9037356376647949,0.9062936902046204,0.8756756782531738,0.939130425453186
20,train,0.015598250314828822,0.9971264600753784,0.9972936511039734,0.995945930480957,0.998645007610321
20,val,0.3087090416543785,0.8965517282485962,0.8999999761581421,0.8756756782531738,0.9257143139839172
