epoch,phase,loss,accuracy,f1,recall,precision
1,train,0.6514508703659321,0.6382902264595032,0.6504685878753662,0.602185070514679,0.7071698307991028
1,val,0.6047183782204815,0.7514367699623108,0.7677852511405945,0.7352185249328613,0.8033707737922668
2,train,0.512916285758731,0.7938218116760254,0.814838707447052,0.8116966485977173,0.8180052042007446
2,val,0.4294722172720679,0.8261494040489197,0.8335626125335693,0.7789202928543091,0.8964496850967407
3,train,0.3670189450869615,0.8473419547080994,0.8640869855880737,0.8682519197463989,0.8599618077278137
3,val,0.3314986703382141,0.8534482717514038,0.8617886304855347,0.817480742931366,0.9111747741699219
4,train,0.29522523018477975,0.8767959475517273,0.8898876309394836,0.8907455205917358,0.8890314102172852
4,val,0.3104803314668009,0.8491379022598267,0.8531468510627747,0.7840616703033447,0.9355828166007996
5,train,0.2357624946055056,0.9026580452919006,0.9128336906433105,0.9119537472724915,0.9137153625488281
5,val,0.27725491235996114,0.8678160905838013,0.8770053386688232,0.843187689781189,0.9136490225791931
6,train,0.20400373061754923,0.9260057210922241,0.9335483908653259,0.9299485683441162,0.9371761679649353
6,val,0.2814124444092827,0.8764367699623108,0.8847184777259827,0.8483290672302246,0.924369752407074
7,train,0.16529728621030335,0.9396551847457886,0.945911169052124,0.9440873861312866,0.9477419257164001
7,val,0.28425017157676574,0.8735632300376892,0.8807588219642639,0.8354755640029907,0.9312320947647095
8,train,0.14116523534744635,0.9479166865348816,0.9531199336051941,0.9473007917404175,0.9590110778808594
8,val,0.28486468938404114,0.8764367699623108,0.883152186870575,0.8354755640029907,0.9365994334220886
9,train,0.1200233069516119,0.959770143032074,0.9640564918518066,0.9652956128120422,0.9628205299377441
9,val,0.29814581637238635,0.8764367699623108,0.883783757686615,0.8406169414520264,0.9316239356994629
10,train,0.10502872911506686,0.9676724076271057,0.971116840839386,0.9723650217056274,0.9698718190193176
10,val,0.3058164359723357,0.8721264600753784,0.8782489895820618,0.8251928091049194,0.9385964870452881
