epoch,phase,loss,accuracy,f1,recall,precision
1,train,0.5877462827988218,0.7488038539886475,0.6888889074325562,0.7187017202377319,0.6614509224891663
1,val,0.44539470521456886,0.9043062329292297,0.8830409646034241,0.9349845051765442,0.8365650773048401
2,train,0.28431270569206424,0.91297847032547,0.8918617367744446,0.927357017993927,0.8589835166931152
2,val,0.16268373505350506,0.9605262875556946,0.9478672742843628,0.9287925958633423,0.9677419066429138
3,train,0.1564864521338181,0.9461722373962402,0.9316109418869019,0.9474497437477112,0.9162929654121399
3,val,0.11815915809293683,0.970095694065094,0.9603803753852844,0.9380804896354675,0.9837662577629089
4,train,0.1048600167508402,0.9671052694320679,0.9577248096466064,0.9629057049751282,0.9525994062423706
4,val,0.11306315770987689,0.9688995480537415,0.9585987329483032,0.9318885207176208,0.9868852496147156
5,train,0.09227427624112539,0.9688995480537415,0.9599999785423279,0.9644513130187988,0.9555895924568176
5,val,0.10796576160848426,0.9677033424377441,0.9572107791900635,0.9349845051765442,0.9805194735527039
6,train,0.06267847072413307,0.9784688949584961,0.9723714590072632,0.9791344404220581,0.9657012224197388
6,val,0.10012670535077318,0.9712918400764465,0.962382435798645,0.9504643678665161,0.9746031761169434
7,train,0.054773608792983174,0.9817583560943604,0.9765294194221497,0.9806800484657288,0.9724137783050537
7,val,0.11206794919615443,0.9688995480537415,0.9585987329483032,0.9318885207176208,0.9868852496147156
8,train,0.040831604768615665,0.9904305934906006,0.9876733422279358,0.9907264113426208,0.9846389889717102
8,val,0.09884863988491907,0.9677033424377441,0.9569377899169922,0.9287925958633423,0.9868420958518982
9,train,0.044399642031283326,0.9868420958518982,0.9830377697944641,0.9853168725967407,0.9807692170143127
9,val,0.09051622817533438,0.9677033424377441,0.9580093026161194,0.9535603523254395,0.9624999761581421
10,train,0.032978310680872445,0.9934210777282715,0.9914926290512085,0.9907264113426208,0.9922600388526917
10,val,0.09400579843527535,0.9653109908103943,0.9546166062355042,0.9442724585533142,0.9651898741722107
