epoch,phase,loss,accuracy,f1,recall,precision
1,train,0.6149254153369169,0.7266288995742798,0.7033051252365112,0.7071097493171692,0.6995412707328796
1,val,0.5254569577090126,0.8626062273979187,0.853252649307251,0.8730649948120117,0.834319531917572
2,train,0.3563176717704146,0.8937677145004272,0.8849693536758423,0.8918083310127258,0.8782343864440918
2,val,0.23555603572734693,0.9291784763336182,0.9183006286621094,0.8699690699577332,0.9723183512687683
3,train,0.1931319348197483,0.9380311369895935,0.9320388436317444,0.927357017993927,0.9367681741714478
3,val,0.14844627816113973,0.9475920796394348,0.9411764740943909,0.9164086580276489,0.9673202633857727
4,train,0.14064815376618767,0.951133131980896,0.9468821883201599,0.9505409598350525,0.9432515501976013
4,val,0.12868049257453373,0.9560906291007996,0.9514867067337036,0.9411764740943909,0.9620253443717957
5,train,0.10221852558445998,0.9695467352867126,0.9666925072669983,0.9644513130187988,0.9689440727233887
5,val,0.11795971121522927,0.954674243927002,0.9490445852279663,0.9226006269454956,0.9770491719245911
6,train,0.07950889470620297,0.975566565990448,0.9734513163566589,0.9775888919830322,0.969348669052124
6,val,0.11887151097599154,0.9504249095916748,0.9436392784118652,0.9071207642555237,0.9832214713096619
7,train,0.08254579615597178,0.9730878472328186,0.9706336855888367,0.9706336855888367,0.9706336855888367
7,val,0.09394728198183157,0.9688385128974915,0.9657320976257324,0.9597523212432861,0.9717868566513062
8,train,0.05995142128366038,0.9847733974456787,0.9833655953407288,0.9822256565093994,0.9845081567764282
8,val,0.08817750313279692,0.9688385128974915,0.9655172228813171,0.9535603523254395,0.9777777791023254
9,train,0.05398176970071141,0.9840651750564575,0.9826589822769165,0.9853168725967407,0.9800153970718384
9,val,0.08922419757067777,0.9660056829452515,0.9624999761581421,0.9535603523254395,0.9716088175773621
10,train,0.03829884747829468,0.9904391169548035,0.9895632266998291,0.989180862903595,0.9899458885192871
10,val,0.0913109505376264,0.9631727933883667,0.9588607549667358,0.9380804896354675,0.9805825352668762
